url,No&Typeengines,NO ENGINES,AircraftType&reg,Year_of_Manufacture,Yr Manuf,AgeAircraft,AGE AIRCRAFT BAND,Date & Time,Time,TIME BAND,Date,SEASON,DAY OF WK,Year,Location,TYPE OF FLIGHT,NoCrew&Passengers,No of passengers,Injuries,INJURY CLASS,Aircraft Damage,DAMAGE CLASSIFICATION,PIC LICENCE,pic age,PIC AGE BAND,Total hrs,TOTAL HRS,Type Hrs,TYPE HRS,90 day Hrs,90 DAY HRS,28 day Hrs,28 DAY HRS
https://assets.digital.cabinet-office.gov.uk/media/55f12e7840f0b61528000009/Robin_R2160_G-OCFC_09-15.pdf, 1 lycoming o-320-d2a piston engine,1,":  robin r2160, g-ocfc",2002 (serial no374),2002,13,2, 27 may 2015 at 1100,1100,0900-1159,27/05/2015,Spring,Wed,2015,":  bodmin airfield, cornwall",training/instruction,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to wings, fuselage and nosewheel 
assembly",3,private pilot licence,85,70+,18348,5,552,5,35,4,15,4
https://assets.digital.cabinet-office.gov.uk/media/55f12e47ed915d14f300000d/Pulsar_XP_G-PLSA_09-15.pdf, 1 rotax 912-ul piston engine,1,":  pulsar xp, g-plsa",2005 (serial nopfa202-12283),2005,10,2, 21 april 2015 at 1325,1325,1200-1459,21/04/2015,Spring,Tue,2015,:  fife airport,private,: crew - 1 passengers - none,0,: crew - minor passengers - n/a,3,":  propeller blades broken off, extensive damage 
to fuselage around the cockpit, nosewheel and 
right gear detached, damage to nose and both 
wing roots",2,private pilot licence,76,70+,223,2,29,2,5,2,4,2
https://assets.digital.cabinet-office.gov.uk/media/55f12e1b40f0b61526000007/Piper_PA-28-236_Dakota_G-FRGN_09-15.pdf, 1 lycoming o-540-j3a5d piston engine,1,":  piper pa-28-236 dakota, g-frgn",1994 (serial no2811046),1994,21,3, 15 may 2015 at 1800,1800,1800-2359,15/05/2015,Spring,Fri,2015,":  north moreton airfield, oxfordshire",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  damage to propeller, engine, nose gear, wing, 
fuselage and landing gear",3,private pilot licence,72,70+,683,4,534,5,4,1,4,2
https://assets.digital.cabinet-office.gov.uk/media/55f12de940f0b61526000005/Piper_PA-28R-201_Cherokee_Arrow_III_G-RJMS_09-15.pdf, 1 lycoming io-360-c1c6 piston engine,1,":  piper pa-28r-201 cherokee arrow iii, g-rjms",1978 (serial no28r-7837059),1978,37,4, 19 june 2015 at 0900,900,0900-1159,19/06/2015,Summer,Fri,2015,":  crosland moor airfield, yorkshire",private,: crew - 1 passengers - 3,3,: crew - none passengers - 2 (minor),3,:  damaged beyond economic repar,2,private pilot licence,82,70+,1880,4,1285,5,10,3,5,3
https://assets.digital.cabinet-office.gov.uk/media/55f12da7e5274a151e00000d/Piper_PA-28-161_Cherokee_Warrior_II_G-HAMR_09-15.pdf, 1 lycoming o-320-d3g piston engine,1,":  piper pa-28-161 cherokee warrior ii, g-hamr",1984 (serial no28-8416077),1984,31,4, 13 may 2015 at 1230,1230,1200-1459,13/05/2015,Spring,Wed,2015,":  membury airfield, berkshire",private,: crew - 1 passengers - 1,1,: crew - none passengers - n/a,4,":  landing gear detached, damage to propeller, 
wings and fuselage underside",3,private pilot licence,51,51-60,152,2,152,4,3,1,2,2
https://assets.digital.cabinet-office.gov.uk/media/55f12d6de5274a151e00000b/Piper_PA-28-140_Cherokee_G-CGHM_09-15.pdf, 1 lycoming o-320-e3d piston engine,1,":  piper pa-28-140 cherokee, g-cghm",1974 (serial no28-7425143),1974,41,5, 18 june 2015 at 1215,1215,1200-1459,18/06/2015,Summer,Thu,2015,":  caernarfon airport, gwynedd",training/instruction,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  damage to propeller and nose leg, engine 
shock-loaded",3,student,48,41-50,31,1,31,2,13,3,6,3
https://assets.digital.cabinet-office.gov.uk/media/55f12d1140f0b61526000003/NAMC_CJ-6A_Chujiao_G-BXZB_09-15.pdf," 1 nanchang aircraft mnfr co huosai-6j1a 
piston engine",1,":  namc cj-6a chujiao, g-bxzb",1969 (serial no263219),1969,46,5, 16 may 2015 at 1330,1330,1200-1459,16/05/2015,Spring,Sat,2015,":  goodwood airport, west sussex",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,:  propeller bent and engine shock-loaded,3,airline transport pilot licence,53,51-60,13232,5,500,5,120,5,30,5
https://assets.digital.cabinet-office.gov.uk/media/55f12cd2e5274a151b000005/Grumman_AA-5_Traveller_G-TALJ_09-15.pdf, 1 lycoming o-320-e2g piston engine,1,":  grumman aa-5 traveller, g-talj",1973 (serial noaa5-0479),1973,42,5, 24 june 2015 at 1210,1210,1200-1459,24/06/2015,Summer,Wed,2015,":  shobdon aerodrome, herefordshire",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,:  damage to propeller and rear fuselage,3,private pilot licence,57,51-60,155,2,4,1,4,1,2,2
https://assets.digital.cabinet-office.gov.uk/media/55f12ca340f0b61528000007/Druine_D.62B_Condor_G-AWAT_09-15.pdf," 1 continental motors corp o-200-a piston 
engine",1,":  druine d.62b condor, g-awat",1968 (serial norae/627),1968,47,5, 17 april 2015 at 1030,1030,0900-1159,17/04/2015,Spring,Fri,2015,:  private strip east of oxford,private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  right landing gear, right main spar and skin, 
propeller and lower engine cowl damaged",3,private pilot licence,71,70+,10086,5,6,1,27,4,10,4
https://assets.digital.cabinet-office.gov.uk/media/55f12c6f40f0b61528000005/DH82A_Tiger_Moth_G-EMSY_09-15.pdf, 1 de havilland gipsy major i piston engine,1,":  dh82a tiger moth, g-emsy",1940 (serial no83666),1940,75,6, 15 may 2015 at 1251,1251,1200-1459,15/05/2015,Spring,Fri,2015,":  old sarum airfield, wiltshire",training/instruction,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to propeller, engine cowling, upper 
wing and empennage",3,airline transport pilot licence,31,31-40,1817,4,1,1,110,5,47,5
https://assets.digital.cabinet-office.gov.uk/media/55cc470b40f0b61371000015/Skyraider_Aviation_Phantom_G-MJTZ_08-08.pdf, 1 rotax 462 piston engine,1,":  skyraider aviation phantom, g-mjtz",1983 (serial nombs-01),1983,32,4, 21 june 2015 at 0810,810,0000-0859,21/06/2015,Summer,Sun,2015,":  approximately 2 nm southeast of newport, isle 
of wight",private,: crew - 1 passengers - none,0,: crew - 1 passengers - n/a,3,:  nosewheel and left mainwheel,3,private pilot licence,67,61-70,372,3,102,4,7,2,5,3
https://assets.digital.cabinet-office.gov.uk/media/55cc46d240f0b61371000013/Luscombe_8A_Silvaire_G-BVGW_08-08.pdf, 1 continental motors corp a65-8 piston engine,1,":  luscombe 8a silvaire, g-bvgw",1947 (serial no4823),1947,68,6, 22 march 2015 at 1530,1530,1500-1759,22/03/2015,Spring,Sun,2015,":  shifnal airfield, near telford, shropshire",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  damage to outboard left wing, fuselage panels, 
windscreen and propeller",3,private pilot licence,58,51-60,493,3,249,4,24,4,9,3
https://assets.digital.cabinet-office.gov.uk/media/55cc469ced915d5346000020/Glastar_G-GERY_08-08.pdf, 1 lycoming o-320-e2d piston engine,1,":  glastar, g-gery",2002 (serial nopfa 295-13475),2002,13,2, 21 march 2015 at 1100,1100,0900-1159,21/03/2015,Spring,Sat,2015,":  hollym airfield, yorkshire",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to fuselage, wings, tailplane; engine 
shock-loaded",3,private pilot licence,72,70+,1641,4,826,5,11,3,2,2
